ID,predict,answer,"equal=1, diferent=0",Á¤È®µµ
acb0279d5740cc9e3cc9077e3a57188b_mpress.fh,1,1,1,0.999845754
acb0764589dcca7862cafd73e1f0c5c4_mpress.fh,1,1,1,
acb1152aaec9112f372f6115b14540cd_mpress.fh,1,1,1,
acb165914abe67d2ddc35af5a8b19e4a_mpress.fh,1,1,1,
acb199375027f2197bcdc886993391dc_mpress.fh,1,1,1,
acb267685660b82ad70f6d4e71735511_mpress.fh,1,1,1,
acb2983d63259efe1e60eda78f89ff45_mpress.fh,1,1,1,
acb3071a99c88041659d6630edc9f60c_mpress.fh,1,1,1,
acb34492c580df82cf0571147b48e39d_mpress.fh,1,1,1,
acb40437ed42cf414b540fefb3158cb4_mpress.fh,1,1,1,
acb483ca4a741239e381127a567cf35a_mpress.fh,1,1,1,
acb515c1c6c72be8851c44f6cff63b87_mpress.fh,1,1,1,
acb520de93113a5886e1615d95a1257f_mpress.fh,1,1,1,
acb595d3ea1fd8583b193cbe22633cda_mpress.fh,1,1,1,
acb62288e896d9adb1d221355d829a11_mpress.fh,1,1,1,
acb640ccd75e6564ab9577fc835c738d_mpress.fh,1,1,1,
acb6562b8b03f09b502f014918f3032e_mpress.fh,1,1,1,
acb66560d86fac63c2c3bfd6f11ba4ea_mpress.fh,1,1,1,
acb6667046365e06a4197b9063d68cd5_mpress.fh,1,1,1,
acb678bda8da11b0558b2244e20c2b77_mpress.fh,1,1,1,
acb753c73469a860bd2ec531db540415_mpress.fh,1,1,1,
acb755b2ae33bf5ac1c58c3ba11a375f_mpress.fh,1,1,1,
acb77688e5890eaf3e1aef5733846d61_mpress.fh,1,1,1,
acb8057d314e04457482bca837165587_mpress.fh,1,1,1,
acb82977cf70fa5179b6cffbe342ab81_mpress.fh,1,1,1,
acb848e4fc027acb7e5fc54b04d0fc6c_mpress.fh,1,1,1,
acb857795d017fa186b97e68cb31a45d_mpress.fh,1,1,1,
acb952639b3a40bb61a6a8717c7ff7f4_mpress.fh,1,1,1,
acb9896b629fa819898ea201203ae164_mpress.fh,1,1,1,
acba35fe4a4f9640eb8a1f25e6ddb0c0_mpress.fh,1,1,1,
acba43beb4438073744591c562ea87db_mpress.fh,1,1,1,
acba47cd821ea93ef565478fe2aa4746_mpress.fh,1,1,1,
acba6d98dc3c073507a07055ecef875c_mpress.fh,1,1,1,
acba6f3bd3b697fd0080f82cdc1ce92f_mpress.fh,1,1,1,
acbaa6ef2993057873c3edb3f089af56_mpress.fh,1,1,1,
acbaa7e650fc04e09b8674986cd6020d_mpress.fh,1,1,1,
acbaca482f13778223147007889aa1bc_mpress.fh,1,1,1,
acbb161b0dceee2ec986337ef754c125_mpress.fh,1,1,1,
acbb59ddc6126d14b59b88077499f380_mpress.fh,1,1,1,
acbb6485e37cf4d41fbb6426d852d910_mpress.fh,1,1,1,
acbb6b3d24c378fabaa9b1b11879036d_mpress.fh,1,1,1,
acbb792cb2fa8f5cb05ea1dd61476cff_mpress.fh,1,1,1,
acbbf177f001b79745bd471ab93a777e_mpress.fh,1,1,1,
acbbf791b391c7e49c85c98da8781cd5_mpress.fh,1,1,1,
acbc0d1fc77e0498c19fff9def595918_mpress.fh,1,1,1,
acbc166003fe6af2904a54131cb81e59_mpress.fh,1,1,1,
acbc2114bdb16100ecfbbfc89b89d3df_mpress.fh,1,1,1,
acbc3d4814a676daa4c3ad3a7c55edc4_mpress.fh,1,1,1,
acbc4d9f25ae2864b2122878e4ad59c5_mpress.fh,1,1,1,
acbc5a7e32c213e9ffbed81db6e5eaa4_mpress.fh,1,1,1,
acbcf0365bcf3a9bdf850329568d3d0c_mpress.fh,1,1,1,
acbd12609c48453828f3914ee9eb120e_mpress.fh,1,1,1,
acbd6dca0efaf2890cd58f835933aafa_mpress.fh,1,1,1,
acbdb65e064d0308d30e549243acf699_mpress.fh,1,1,1,
acbe1c49f704e218d18c1e2a9d003bf8_mpress.fh,1,1,1,
acbe33e38ef7ecd8a1561bb3a5a8896a_mpress.fh,1,1,1,
acbeb5d42332ba749cbe10f9b183d1bf_mpress.fh,1,1,1,
acbefa2d96fc5d3bc681430f6501a7c5_mpress.fh,1,1,1,
acbf6dea8c18ca3f5043f21056a7ffc2_mpress.fh,1,1,1,
acbf83bef7370d2935d6f0a871a06287_mpress.fh,1,1,1,
acbf92df42e4833a6e070661285e7ce8_mpress.fh,1,1,1,
acbfda346702c4e651cfe7e6c303db6d_mpress.fh,1,1,1,
acbfe4ef223d301a6b060d7bf2f621a1_mpress.fh,1,1,1,
acc0160720efd512c2833e44dca9dd19_mpress.fh,1,1,1,
acc02081cb9c96c143531b4d0c2cc8c6_mpress.fh,1,1,1,
acc04e8e86557d9d68dfc505071b5e58_mpress.fh,1,1,1,
acc064130dae384d4b7dd59d0fe4e0b9_mpress.fh,1,1,1,
acc07834cd3341b53bf089fd69c61f11_mpress.fh,1,1,1,
acc0bddf9f171ab5a1e71d96fd1bc746_mpress.fh,1,1,1,
acc130a86d017217a460d5a241fd561c_mpress.fh,1,1,1,
acc1724c13e4e8a76e1083edcb492f4e_mpress.fh,1,1,1,
acc183b3aafb01533be3a12ff84fb9c7_mpress.fh,1,1,1,
acc1a2129c715d71fec56fa68514da9d_mpress.fh,1,1,1,
acc1a79b5b1346d4c36b3c210a7de7ce_mpress.fh,1,1,1,
acc1bb316badef95b169c01887bc5320_mpress.fh,1,1,1,
acc1dc305cddca48d8825db1d79b6455_mpress.fh,1,1,1,
